"행정구역별(1)",2015,2016,2017,2018
"전국",6.86,6.59,6.31,6.08
"서울특별시",2.04,1.98,1.90,1.86
"부산광역시",3.19,3.06,2.95,2.87
"대구광역시",3.25,3.12,3.00,2.93
"인천광역시",3.26,3.09,2.91,2.76
"광주광역시",5.72,5.46,5.25,5.01
"대전광역시",3.39,3.20,3.07,2.93
"울산광역시",4.91,4.67,4.39,4.18
"세종특별자치시",13.75,12.95,11.73,11.06
"경기도",4.95,4.67,4.42,4.19
"강원도",8.59,8.34,8.01,7.75
"충청북도",12.46,11.96,11.43,10.95
"충청남도",12.45,12.04,11.62,11.26
"전라북도",14.94,14.57,14.16,13.84
"전라남도",17.54,17.26,16.83,16.50
"경상북도",12.05,11.68,11.35,11.03
"경상남도",11.18,10.71,10.21,9.79
"제주특별자치도",3.78,3.66,3.52,3.31
