성별 및 연령집단별 우울감경험률 [단위 : %],,,,,,,,,,,
,,2005,2007,2008,2009,2010,2011,2012,2013,2015,2017
전체,,15.4,12.5,14.3,14.7,12.4,13.2,12.4,10.2,13,11.2
성,남자,11.5,8.1,10.1,10,7.9,10.1,8.9,6.6,9.5,9.1
,여자,19.2,16.6,18.3,19.2,16.9,16.1,15.9,13.7,16.5,13.4
연령집단,19-29세,12.4,9.7,12.4,13.3,11.8,13.6,9.3,10.4,14.9,13.5
,30-39세,12.5,9.3,10.8,11.9,9.1,11.6,10.8,7.6,10.3,9.1
,40-49세,14.8,11.7,13.4,13.4,11,11.4,12.9,8.3,10.8,7.8
,50-59세,18,13.8,17.4,17.8,16.9,15.2,15,13.1,13.1,11
,60-69세,22.8,20.4,19.2,17.9,15.5,15,15.1,12.4,18.2,14.7
,70세?이상,21.2,20.2,21.6,21.5,16.9,15.9,17.9,16.1,15.2,17.3
